iso_a0,pais,adm_1_name,ano,mes,casos_dengue,incidencia_dengue,agua_basica,tmax_promedio,tmin_promedio,precipitacion,humedad_promedio,poblacion,densidad_poblacion,tmax_lag1,tmax_lag2,tmax_lag3,tmax_lag4,tmax_lag5,tmax_lag6,tmin_lag1,tmin_lag2,tmin_lag3,tmin_lag4,tmin_lag5,tmin_lag6,precipitacion_lag1,precipitacion_lag2,precipitacion_lag3,precipitacion_lag4,precipitacion_lag5,precipitacion_lag6,humedad_lag1,humedad_lag2,humedad_lag3,humedad_lag4,humedad_lag5,humedad_lag6,incidencia_lag1,incidencia_lag2,incidencia_lag3,incidencia_lag4,incidencia_lag5,incidencia_lag6,incidencia_lag7,incidencia_lag8,incidencia_lag9,incidencia_lag10,incidencia_lag11,incidencia_lag12,incidencia_roll3,incidencia_roll6,incidencia_roll12,mes_sin,mes_cos,indicador_covid,indicador_nino,indicador_nina,incidencia_vecinos_lag1,incidencia_vecinos_lag2,incidencia_vecinos_lag3,incidencia_vecinos_lag4,incidencia_vecinos_lag5,incidencia_vecinos_lag6,amplitud_termica,temperatura_media,precipitacion_anomalia,aceleracion_incidencia,cambio_interanual,tendencia_1m,tendencia_3m,fase_ascendente,indicador_brote,pais_ARG,pais_BOL,pais_BRA,pais_COL,pais_ECU,pais_MEX,pais_PAN,pais_PER
COL,Colombia,AMAZONAS,2017,2,3,4.0372,95.6178,29.54,22.12,8.53,92.74,74309,0.6776,29.87,30.21,30.0,30.49,30.22,30.29,21.45,22.32,22.46,22.08,21.71,21.57,12.69,7.92,5.89,5.84,3.08,4.69,93.52,93.37,92.87,91.47,89.95,91.0,2.205457262262696,1.6419051025716018,1.6419051025716018,2.2332350148592526,1.3288506124581863,1.3288506124581863,0.8705818157805052,2.602319246469968,2.3719525609776344,2.700239779010233,2.3719525609776344,3.0173274109905805,1.8668875558087172,1.799722127398199,2.2057767915657003,0.8660254037844386,0.5000000000000001,0,0,0,2.054589437204643,1.9601886763528642,1.4596454993279928,1.0960089027979947,1.2887090952688371,2.2304014220307766,7.419999999999998,25.83,0.878333333333333,0.5635521596910942,-0.8118701487278845,0.19335446505820708,0.19335446505820708,1,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,3,5,6.7287,95.6178,29.52,22.19,9.72,92.45,74309,0.6776,29.54,29.87,30.21,30.0,30.49,30.22,22.12,21.45,22.32,22.46,22.08,21.71,8.53,12.69,7.92,5.89,5.84,3.08,92.74,93.52,93.37,92.87,91.47,89.95,1.6168503721495544,2.205457262262696,1.6419051025716018,1.6419051025716018,2.2332350148592526,1.3288506124581863,1.3288506124581863,0.8705818157805052,2.602319246469968,2.3719525609776344,2.700239779010233,2.3719525609776344,1.8602796364153387,1.8338686349878628,2.053356345311289,1.0,6.123233995736766e-17,0,0,0,1.6878361918532419,2.054589437204643,1.9601886763528642,1.4596454993279928,1.0960089027979947,1.2887090952688371,7.329999999999998,25.855,2.375000000000001,-0.5886068901131416,-0.75510218882808,-0.20288330514992603,-0.009528840091718949,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,4,2,2.6915,95.6178,29.53,21.78,9.73,92.69,74309,0.6776,29.52,29.54,29.87,30.21,30.0,30.49,22.19,22.12,21.45,22.32,22.46,22.08,9.72,8.53,12.69,7.92,5.89,5.84,92.45,92.74,93.52,93.37,92.87,91.47,2.0449406725182677,1.6168503721495544,2.205457262262696,1.6419051025716018,1.6419051025716018,2.2332350148592526,1.3288506124581863,1.3288506124581863,0.8705818157805052,2.602319246469968,2.3719525609776344,2.700239779010233,1.9851445983779892,1.9339411868981318,2.02086962932138,0.8660254037844387,-0.4999999999999998,0,0,0,1.8049389043401691,1.6878361918532419,2.054589437204643,1.9601886763528642,1.4596454993279928,1.0960089027979947,7.75,25.655,2.2375000000000007,0.4280903003687133,-0.6552991064919653,0.15150997081949902,-0.05137333433042701,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,5,6,8.0744,95.6178,29.44,22.15,6.8,92.65,74309,0.6776,29.53,29.52,29.54,29.87,30.21,30.0,21.78,22.19,22.12,21.45,22.32,22.46,9.73,9.72,8.53,12.69,7.92,5.89,92.69,92.45,92.74,93.52,93.37,92.87,1.3060328795170832,2.0449406725182677,1.6168503721495544,2.205457262262696,1.6419051025716018,1.6419051025716018,2.2332350148592526,1.3288506124581863,1.3288506124581863,0.8705818157805052,2.602319246469968,2.3719525609776344,1.7021629354162988,1.7879131928927643,1.8889214687089797,0.49999999999999994,-0.8660254037844387,0,0,0,2.1929264647810793,1.8049389043401691,1.6878361918532419,2.054589437204643,1.9601886763528642,1.4596454993279928,7.290000000000003,25.795,-0.7400000000000002,-0.7389077930011845,-1.0659196814605512,-0.27795273740641036,-0.12644276658691134,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,6,3,4.0372,95.6178,29.61,21.37,6.19,92.03,74309,0.6776,29.44,29.53,29.52,29.54,29.87,30.21,22.15,21.78,22.19,22.12,21.45,22.32,6.8,9.73,9.72,8.53,12.69,7.92,92.65,92.69,92.45,92.74,93.52,93.37,2.205457262262696,1.3060328795170832,2.0449406725182677,1.6168503721495544,2.205457262262696,1.6419051025716018,1.6419051025716018,2.2332350148592526,1.3288506124581863,1.3288506124581863,0.8705818157805052,2.602319246469968,1.9215491481423779,1.8913835630339448,1.8679859299264372,1.2246467991473532e-16,-1.0,0,0,0,2.0314279508992206,2.1929264647810793,1.8049389043401691,1.6878361918532419,2.054589437204643,1.9601886763528642,8.239999999999998,25.490000000000002,-1.2491666666666656,0.8994243827456128,-0.39686198420727203,0.32932607173683737,0.05137333433042701,1,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,7,10,13.4573,95.6178,29.21,18.73,4.97,90.79,74309,0.6776,29.61,29.44,29.53,29.52,29.54,29.87,21.37,22.15,21.78,22.19,22.12,21.45,6.19,6.8,9.73,9.72,8.53,12.69,92.03,92.65,92.69,92.45,92.74,93.52,1.6168503721495544,2.205457262262696,1.3060328795170832,2.0449406725182677,1.6168503721495544,2.205457262262696,1.6419051025716018,1.6419051025716018,2.2332350148592526,1.3288506124581863,1.3288506124581863,0.8705818157805052,1.780760310769678,1.888165008503057,1.7527457346532298,-0.4999999999999997,-0.8660254037844388,0,0,0,2.1250799187856697,2.0314279508992206,2.1929264647810793,1.8049389043401691,1.6878361918532419,2.054589437204643,10.48,23.97,-2.4075000000000006,-0.5886068901131416,0.7462685563690492,-0.20288330514992603,0.12644276658691134,1,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,8,4,5.3829,95.6178,30.04,21.06,4.63,90.67,74309,0.6776,29.21,29.61,29.44,29.53,29.52,29.54,18.73,21.37,22.15,21.78,22.19,22.12,4.97,6.19,6.8,9.73,9.72,8.53,90.79,92.03,92.65,92.69,92.45,92.74,2.671199477304196,1.6168503721495544,2.205457262262696,1.3060328795170832,2.0449406725182677,1.6168503721495544,2.205457262262696,1.6419051025716018,1.6419051025716018,2.2332350148592526,1.3288506124581863,1.3288506124581863,2.2537064249082577,2.01548729426557,1.9134127834625372,-0.8660254037844385,-0.5000000000000004,0,0,0,1.8409992677465463,2.1250799187856697,2.0314279508992206,2.1929264647810793,1.8049389043401691,1.6878361918532419,8.98,25.549999999999997,-2.5408333333333335,1.0543491051546414,1.3423488648460096,0.338546995142191,0.13566368999226497,1,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,9,2,2.6915,95.6178,29.98,22.08,6.69,91.29,74309,0.6776,30.04,29.21,29.61,29.44,29.53,29.52,21.06,18.73,21.37,22.15,21.78,22.19,4.63,4.97,6.19,6.8,9.73,9.72,90.67,90.79,92.03,92.65,92.69,92.45,1.853622539536753,2.671199477304196,1.6168503721495544,2.205457262262696,1.3060328795170832,2.0449406725182677,1.6168503721495544,2.205457262262696,1.6419051025716018,1.6419051025716018,2.2332350148592526,1.3288506124581863,2.154757712239261,2.0449363595801002,1.9449608891268262,-1.0,-1.8369701987210297e-16,0,0,0,1.465659916500631,1.8409992677465463,2.1250799187856697,2.0314279508992206,2.1929264647810793,1.8049389043401691,7.900000000000002,26.03,-0.475833333333334,-0.8175769377674429,0.5247719270785667,-0.25192918805758757,0.08661780708460343,1,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,10,4,5.3829,95.6178,30.08,21.86,6.21,91.78,74309,0.6776,29.98,30.04,29.21,29.61,29.44,29.53,22.08,21.06,18.73,21.37,22.15,21.78,6.69,4.63,4.97,6.19,6.8,9.73,91.29,90.67,90.79,92.03,92.65,92.69,1.3060328795170832,1.853622539536753,2.671199477304196,1.6168503721495544,2.205457262262696,1.3060328795170832,2.0449406725182677,1.6168503721495544,2.205457262262696,1.6419051025716018,1.6419051025716018,2.2332350148592526,2.1013538700953687,1.9538499736315709,1.9439451244202879,-0.8660254037844386,0.5000000000000001,0,0,0,1.5551858592686474,1.465659916500631,1.8409992677465463,2.1250799187856697,2.0314279508992206,2.1929264647810793,8.219999999999999,25.97,-1.2566666666666677,-0.5475896600196697,-0.9272021353421693,-0.21306057367151476,-0.46498976172910234,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,11,6,8.0744,95.6178,30.03,22.54,5.28,92.46,74309,0.6776,30.08,29.98,30.04,29.21,29.61,29.44,21.86,22.08,21.06,18.73,21.37,22.15,6.21,6.69,4.63,4.97,6.19,6.8,91.78,91.29,90.67,90.79,92.03,92.65,1.853622539536753,1.3060328795170832,1.853622539536753,2.671199477304196,1.6168503721495544,2.205457262262696,1.3060328795170832,2.0449406725182677,1.6168503721495544,2.205457262262696,1.6419051025716018,1.6419051025716018,1.7021568591038914,2.015485073338888,1.9081588320010976,-0.5000000000000004,0.8660254037844384,0,0,1,2.087699021326691,1.5551858592686474,1.465659916500631,1.8409992677465463,2.1250799187856697,2.0314279508992206,7.490000000000002,26.285,-2.2174999999999994,0.5475896600196697,0.2117174369651511,0.21306057367151476,0.0,0,0,0,0,0,1,0,0,0,0
